file,label
/kaggle/working/dataset1/train/1/train_0.jpg,1
/kaggle/working/dataset1/train/1/train_1.jpg,1
/kaggle/working/dataset1/train/1/train_2.jpg,1
/kaggle/working/dataset1/train/1/train_3.jpg,1
/kaggle/working/dataset1/train/0/train_4.jpg,0
/kaggle/working/dataset1/train/1/train_5.jpg,1
/kaggle/working/dataset1/train/1/train_6.jpg,1
/kaggle/working/dataset1/train/1/train_7.jpg,1
/kaggle/working/dataset1/train/0/train_8.jpg,0
/kaggle/working/dataset1/train/0/train_9.jpg,0
/kaggle/working/dataset1/train/1/train_10.jpg,1
/kaggle/working/dataset1/train/1/train_11.jpg,1
/kaggle/working/dataset1/train/1/train_12.jpg,1
/kaggle/working/dataset1/train/1/train_13.jpg,1
/kaggle/working/dataset1/train/0/train_14.jpg,0
/kaggle/working/dataset1/train/1/train_15.jpg,1
/kaggle/working/dataset1/train/1/train_16.jpg,1
/kaggle/working/dataset1/train/1/train_17.jpg,1
/kaggle/working/dataset1/train/1/train_18.jpg,1
/kaggle/working/dataset1/train/1/train_19.jpg,1
/kaggle/working/dataset1/train/0/train_20.jpg,0
/kaggle/working/dataset1/train/1/train_21.jpg,1
/kaggle/working/dataset1/train/1/train_22.jpg,1
/kaggle/working/dataset1/train/1/train_23.jpg,1
/kaggle/working/dataset1/train/1/train_24.jpg,1
/kaggle/working/dataset1/train/1/train_25.jpg,1
/kaggle/working/dataset1/train/1/train_26.jpg,1
/kaggle/working/dataset1/train/0/train_27.jpg,0
/kaggle/working/dataset1/train/1/train_28.jpg,1
/kaggle/working/dataset1/train/1/train_29.jpg,1
/kaggle/working/dataset1/train/1/train_30.jpg,1
/kaggle/working/dataset1/train/1/train_31.jpg,1
/kaggle/working/dataset1/train/1/train_32.jpg,1
/kaggle/working/dataset1/train/1/train_33.jpg,1
/kaggle/working/dataset1/train/1/train_34.jpg,1
/kaggle/working/dataset1/train/1/train_35.jpg,1
/kaggle/working/dataset1/train/1/train_36.jpg,1
/kaggle/working/dataset1/train/1/train_37.jpg,1
/kaggle/working/dataset1/train/0/train_38.jpg,0
/kaggle/working/dataset1/train/1/train_39.jpg,1
/kaggle/working/dataset1/train/1/train_40.jpg,1
/kaggle/working/dataset1/train/1/train_41.jpg,1
/kaggle/working/dataset1/train/1/train_42.jpg,1
/kaggle/working/dataset1/train/1/train_43.jpg,1
